Date;PM10;month;Year;Season
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/06;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/07;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;;January;2013;Summer
2013/01/08;29.784;January;2013;Summer
2013/01/08;19.445;January;2013;Summer
2013/01/08;18.002;January;2013;Summer
2013/01/08;14.004;January;2013;Summer
2013/01/08;11.268;January;2013;Summer
2013/01/08;15.958;January;2013;Summer
2013/01/08;54.388;January;2013;Summer
2013/01/08;55.981;January;2013;Summer
2013/01/08;78.481;January;2013;Summer
2013/01/08;47.695;January;2013;Summer
2013/01/08;52.703;January;2013;Summer
2013/01/08;117.919;January;2013;Summer
2013/01/08;46.599;January;2013;Summer
2013/01/08;6.422;January;2013;Summer
2013/01/08;8.520;January;2013;Summer
2013/01/09;11.210;January;2013;Summer
2013/01/09;13.526;January;2013;Summer
2013/01/09;15.220;January;2013;Summer
2013/01/09;96.388;January;2013;Summer
2013/01/09;51.615;January;2013;Summer
2013/01/09;60.353;January;2013;Summer
2013/01/09;66.178;January;2013;Summer
2013/01/09;27.150;January;2013;Summer
2013/01/09;23.956;January;2013;Summer
2013/01/09;24.918;January;2013;Summer
2013/01/09;38.542;January;2013;Summer
2013/01/09;53.856;January;2013;Summer
2013/01/09;45.038;January;2013;Summer
2013/01/09;76.980;January;2013;Summer
2013/01/09;49.462;January;2013;Summer
2013/01/09;45.553;January;2013;Summer
2013/01/09;138.927;January;2013;Summer
2013/01/09;229.425;January;2013;Summer
2013/01/09;133.077;January;2013;Summer
2013/01/09;54.880;January;2013;Summer
2013/01/09;97.269;January;2013;Summer
2013/01/09;58.478;January;2013;Summer
2013/01/09;45.440;January;2013;Summer
2013/01/09;16.432;January;2013;Summer
2013/01/10;9.034;January;2013;Summer
2013/01/10;7.083;January;2013;Summer
2013/01/10;9.193;January;2013;Summer
2013/01/10;15.675;January;2013;Summer
2013/01/10;20.894;January;2013;Summer
2013/01/10;46.389;January;2013;Summer
2013/01/10;56.313;January;2013;Summer
2013/01/10;73.292;January;2013;Summer
2013/01/10;75.516;January;2013;Summer
2013/01/10;49.193;January;2013;Summer
2013/01/10;56.796;January;2013;Summer
2013/01/10;40.621;January;2013;Summer
2013/01/10;24.025;January;2013;Summer
2013/01/10;27.877;January;2013;Summer
2013/01/10;30.284;January;2013;Summer
2013/01/10;55.376;January;2013;Summer
2013/01/10;150.628;January;2013;Summer
2013/01/10;319.288;January;2013;Summer
2013/01/10;46.675;January;2013;Summer
2013/01/10;42.375;January;2013;Summer
2013/01/10;57.118;January;2013;Summer
2013/01/10;21.133;January;2013;Summer
2013/01/10;25.812;January;2013;Summer
2013/01/10;23.077;January;2013;Summer
2013/01/11;20.885;January;2013;Summer
2013/01/11;22.748;January;2013;Summer
2013/01/11;35.003;January;2013;Summer
2013/01/11;39.532;January;2013;Summer
2013/01/11;58.912;January;2013;Summer
2013/01/11;49.042;January;2013;Summer
2013/01/11;44.290;January;2013;Summer
2013/01/11;38.871;January;2013;Summer
2013/01/11;39.721;January;2013;Summer
2013/01/11;33.133;January;2013;Summer
2013/01/11;92.544;January;2013;Summer
2013/01/11;17.041;January;2013;Summer
2013/01/11;19.293;January;2013;Summer
2013/01/11;12.773;January;2013;Summer
2013/01/11;9.153;January;2013;Summer
2013/01/11;16.743;January;2013;Summer
2013/01/11;37.339;January;2013;Summer
2013/01/11;70.538;January;2013;Summer
2013/01/11;41.777;January;2013;Summer
2013/01/11;6.395;January;2013;Summer
2013/01/11;7.204;January;2013;Summer
2013/01/11;10.613;January;2013;Summer
2013/01/11;7.363;January;2013;Summer
2013/01/11;9.138;January;2013;Summer
2013/01/12;11.741;January;2013;Summer
2013/01/12;14.388;January;2013;Summer
2013/01/12;15.458;January;2013;Summer
2013/01/12;8.203;January;2013;Summer
2013/01/12;8.253;January;2013;Summer
2013/01/12;8.202;January;2013;Summer
2013/01/12;5.813;January;2013;Summer
2013/01/12;5.698;January;2013;Summer
2013/01/12;9.101;January;2013;Summer
2013/01/12;6.474;January;2013;Summer
2013/01/12;4.875;January;2013;Summer
2013/01/12;7.465;January;2013;Summer
2013/01/12;3.312;January;2013;Summer
2013/01/12;3.074;January;2013;Summer
2013/01/12;3.021;January;2013;Summer
2013/01/12;4.907;January;2013;Summer
2013/01/12;19.441;January;2013;Summer
2013/01/12;11.208;January;2013;Summer
2013/01/12;16.652;January;2013;Summer
2013/01/12;9.444;January;2013;Summer
2013/01/12;4.573;January;2013;Summer
2013/01/12;1.486;January;2013;Summer
2013/01/12;1.500;January;2013;Summer
2013/01/12;2.114;January;2013;Summer
2013/01/13;0.960;January;2013;Summer
2013/01/13;1.567;January;2013;Summer
2013/01/13;1.620;January;2013;Summer
2013/01/13;2.256;January;2013;Summer
2013/01/13;3.491;January;2013;Summer
2013/01/13;4.081;January;2013;Summer
2013/01/13;3.390;January;2013;Summer
2013/01/13;4.042;January;2013;Summer
2013/01/13;1.831;January;2013;Summer
2013/01/13;1.015;January;2013;Summer
2013/01/13;2.459;January;2013;Summer
2013/01/13;4.087;January;2013;Summer
2013/01/13;7.053;January;2013;Summer
2013/01/13;4.218;January;2013;Summer
2013/01/13;5.246;January;2013;Summer
2013/01/13;8.576;January;2013;Summer
2013/01/13;16.198;January;2013;Summer
2013/01/13;16.441;January;2013;Summer
2013/01/13;37.921;January;2013;Summer
2013/01/13;21.967;January;2013;Summer
2013/01/13;46.538;January;2013;Summer
2013/01/13;38.690;January;2013;Summer
2013/01/13;12.728;January;2013;Summer
2013/01/13;11.230;January;2013;Summer
2013/01/14;9.415;January;2013;Summer
2013/01/14;13.994;January;2013;Summer
2013/01/14;13.778;January;2013;Summer
2013/01/14;32.067;January;2013;Summer
2013/01/14;46.430;January;2013;Summer
2013/01/14;14.083;January;2013;Summer
2013/01/14;11.438;January;2013;Summer
2013/01/14;9.627;January;2013;Summer
2013/01/14;10.573;January;2013;Summer
2013/01/14;4.899;January;2013;Summer
2013/01/14;14.584;January;2013;Summer
2013/01/14;16.708;January;2013;Summer
2013/01/14;7.395;January;2013;Summer
2013/01/14;8.945;January;2013;Summer
2013/01/14;18.087;January;2013;Summer
2013/01/14;24.097;January;2013;Summer
2013/01/14;15.251;January;2013;Summer
2013/01/14;27.973;January;2013;Summer
2013/01/14;84.831;January;2013;Summer
2013/01/14;28.899;January;2013;Summer
2013/01/14;13.341;January;2013;Summer
2013/01/14;7.155;January;2013;Summer
2013/01/14;4.263;January;2013;Summer
2013/01/14;9.442;January;2013;Summer
2013/01/15;5.193;January;2013;Summer
2013/01/15;9.572;January;2013;Summer
2013/01/15;12.383;January;2013;Summer
2013/01/15;6.733;January;2013;Summer
2013/01/15;12.713;January;2013;Summer
2013/01/15;20.116;January;2013;Summer
2013/01/15;33.861;January;2013;Summer
2013/01/15;37.674;January;2013;Summer
2013/01/15;20.153;January;2013;Summer
2013/01/15;26.700;January;2013;Summer
2013/01/15;22.818;January;2013;Summer
2013/01/15;53.299;January;2013;Summer
2013/01/15;26.937;January;2013;Summer
2013/01/15;29.776;January;2013;Summer
2013/01/15;19.441;January;2013;Summer
2013/01/15;20.869;January;2013;Summer
2013/01/15;17.505;January;2013;Summer
2013/01/15;15.553;January;2013;Summer
2013/01/15;11.152;January;2013;Summer
2013/01/15;7.904;January;2013;Summer
2013/01/15;4.670;January;2013;Summer
2013/01/15;0.714;January;2013;Summer
2013/01/15;0.913;January;2013;Summer
2013/01/15;0.483;January;2013;Summer
2013/01/16;1.503;January;2013;Summer
2013/01/16;2.503;January;2013;Summer
2013/01/16;1.972;January;2013;Summer
2013/01/16;3.457;January;2013;Summer
2013/01/16;4.610;January;2013;Summer
2013/01/16;20.378;January;2013;Summer
2013/01/16;32.722;January;2013;Summer
2013/01/16;33.472;January;2013;Summer
2013/01/16;19.702;January;2013;Summer
2013/01/16;11.235;January;2013;Summer
2013/01/16;19.840;January;2013;Summer
2013/01/16;15.675;January;2013;Summer
2013/01/16;4.543;January;2013;Summer
2013/01/16;4.445;January;2013;Summer
2013/01/16;2.874;January;2013;Summer
2013/01/16;3.236;January;2013;Summer
2013/01/16;4.356;January;2013;Summer
2013/01/16;6.008;January;2013;Summer
2013/01/16;9.563;January;2013;Summer
2013/01/16;3.609;January;2013;Summer
2013/01/16;2.988;January;2013;Summer
2013/01/16;1.301;January;2013;Summer
2013/01/16;2.153;January;2013;Summer
2013/01/16;2.774;January;2013;Summer
2013/01/17;1.761;January;2013;Summer
2013/01/17;0.817;January;2013;Summer
2013/01/17;5.211;January;2013;Summer
2013/01/17;4.932;January;2013;Summer
2013/01/17;8.064;January;2013;Summer
2013/01/17;59.009;January;2013;Summer
2013/01/17;7.684;January;2013;Summer
2013/01/17;2.095;January;2013;Summer
2013/01/17;4.068;January;2013;Summer
2013/01/17;1.167;January;2013;Summer
2013/01/17;2.071;January;2013;Summer
2013/01/17;2.718;January;2013;Summer
2013/01/17;3.351;January;2013;Summer
2013/01/17;2.310;January;2013;Summer
2013/01/17;5.341;January;2013;Summer
2013/01/17;8.358;January;2013;Summer
2013/01/17;12.401;January;2013;Summer
2013/01/17;17.487;January;2013;Summer
2013/01/17;15.833;January;2013;Summer
2013/01/17;15.132;January;2013;Summer
2013/01/17;8.459;January;2013;Summer
2013/01/17;5.581;January;2013;Summer
2013/01/17;2.190;January;2013;Summer
2013/01/17;2.991;January;2013;Summer
2013/01/18;3.037;January;2013;Summer
2013/01/18;4.063;January;2013;Summer
2013/01/18;5.151;January;2013;Summer
2013/01/18;4.555;January;2013;Summer
2013/01/18;8.146;January;2013;Summer
2013/01/18;8.078;January;2013;Summer
2013/01/18;8.684;January;2013;Summer
2013/01/18;21.549;January;2013;Summer
2013/01/18;16.231;January;2013;Summer
2013/01/18;4.555;January;2013;Summer
2013/01/18;6.873;January;2013;Summer
2013/01/18;19.883;January;2013;Summer
2013/01/18;24.019;January;2013;Summer
2013/01/18;18.279;January;2013;Summer
2013/01/18;12.153;January;2013;Summer
2013/01/18;20.985;January;2013;Summer
2013/01/18;7.958;January;2013;Summer
2013/01/18;1.450;January;2013;Summer
2013/01/18;6.604;January;2013;Summer
2013/01/18;4.543;January;2013;Summer
2013/01/18;7.945;January;2013;Summer
2013/01/18;3.298;January;2013;Summer
2013/01/18;6.410;January;2013;Summer
2013/01/18;4.543;January;2013;Summer
2013/01/19;4.912;January;2013;Summer
2013/01/19;5.451;January;2013;Summer
2013/01/19;9.438;January;2013;Summer
2013/01/19;19.882;January;2013;Summer
2013/01/19;23.911;January;2013;Summer
2013/01/19;17.093;January;2013;Summer
2013/01/19;10.372;January;2013;Summer
2013/01/19;10.293;January;2013;Summer
2013/01/19;9.851;January;2013;Summer
2013/01/19;8.809;January;2013;Summer
2013/01/19;4.805;January;2013;Summer
2013/01/19;9.428;January;2013;Summer
2013/01/19;5.571;January;2013;Summer
2013/01/19;8.025;January;2013;Summer
2013/01/19;10.803;January;2013;Summer
2013/01/19;10.257;January;2013;Summer
2013/01/19;6.669;January;2013;Summer
2013/01/19;11.898;January;2013;Summer
2013/01/19;1.520;January;2013;Summer
2013/01/19;4.298;January;2013;Summer
2013/01/19;7.144;January;2013;Summer
2013/01/19;4.700;January;2013;Summer
2013/01/19;9.851;January;2013;Summer
2013/01/19;5.738;January;2013;Summer
2013/01/20;5.613;January;2013;Summer
2013/01/20;2.120;January;2013;Summer
2013/01/20;3.443;January;2013;Summer
2013/01/20;3.835;January;2013;Summer
2013/01/20;1.638;January;2013;Summer
2013/01/20;1.508;January;2013;Summer
2013/01/20;1.639;January;2013;Summer
2013/01/20;0.032;January;2013;Summer
2013/01/20;;January;2013;Summer
2013/01/20;0.353;January;2013;Summer
2013/01/20;0.603;January;2013;Summer
2013/01/20;0.074;January;2013;Summer
2013/01/20;3.611;January;2013;Summer
2013/01/20;3.133;January;2013;Summer
2013/01/20;1.410;January;2013;Summer
2013/01/20;0.609;January;2013;Summer
2013/01/20;1.378;January;2013;Summer
2013/01/20;3.422;January;2013;Summer
2013/01/20;5.619;January;2013;Summer
2013/01/20;5.065;January;2013;Summer
2013/01/20;5.258;January;2013;Summer
2013/01/20;7.751;January;2013;Summer
2013/01/20;6.898;January;2013;Summer
2013/01/20;7.013;January;2013;Summer
2013/01/21;10.083;January;2013;Summer
2013/01/21;14.426;January;2013;Summer
2013/01/21;18.638;January;2013;Summer
2013/01/21;22.048;January;2013;Summer
2013/01/21;27.513;January;2013;Summer
2013/01/21;32.326;January;2013;Summer
2013/01/21;29.803;January;2013;Summer
2013/01/21;30.799;January;2013;Summer
2013/01/21;46.318;January;2013;Summer
2013/01/21;54.180;January;2013;Summer
2013/01/21;48.576;January;2013;Summer
2013/01/21;34.648;January;2013;Summer
2013/01/21;33.032;January;2013;Summer
2013/01/21;38.068;January;2013;Summer
2013/01/21;44.919;January;2013;Summer
2013/01/21;44.192;January;2013;Summer
2013/01/21;46.585;January;2013;Summer
2013/01/21;97.753;January;2013;Summer
2013/01/21;194.718;January;2013;Summer
2013/01/21;89.730;January;2013;Summer
2013/01/21;92.968;January;2013;Summer
2013/01/21;28.509;January;2013;Summer
2013/01/21;28.718;January;2013;Summer
2013/01/21;24.838;January;2013;Summer
2013/01/22;19.744;January;2013;Summer
2013/01/22;12.841;January;2013;Summer
2013/01/22;22.773;January;2013;Summer
2013/01/22;32.529;January;2013;Summer
2013/01/22;37.482;January;2013;Summer
2013/01/22;13.811;January;2013;Summer
2013/01/22;13.689;January;2013;Summer
2013/01/22;16.799;January;2013;Summer
2013/01/22;1.461;January;2013;Summer
2013/01/22;4.618;January;2013;Summer
2013/01/22;7.690;January;2013;Summer
2013/01/22;8.770;January;2013;Summer
2013/01/22;15.930;January;2013;Summer
2013/01/22;22.758;January;2013;Summer
2013/01/22;21.185;January;2013;Summer
2013/01/22;28.795;January;2013;Summer
2013/01/22;39.457;January;2013;Summer
2013/01/22;115.780;January;2013;Summer
2013/01/22;131.219;January;2013;Summer
2013/01/22;82.952;January;2013;Summer
2013/01/22;56.341;January;2013;Summer
2013/01/22;38.264;January;2013;Summer
2013/01/22;33.230;January;2013;Summer
2013/01/22;10.461;January;2013;Summer
2013/01/23;6.188;January;2013;Summer
2013/01/23;3.228;January;2013;Summer
2013/01/23;3.300;January;2013;Summer
2013/01/23;41.793;January;2013;Summer
2013/01/23;49.690;January;2013;Summer
2013/01/23;23.850;January;2013;Summer
2013/01/23;16.783;January;2013;Summer
2013/01/23;14.273;January;2013;Summer
2013/01/23;9.156;January;2013;Summer
2013/01/23;12.520;January;2013;Summer
2013/01/23;16.771;January;2013;Summer
2013/01/23;22.935;January;2013;Summer
2013/01/23;26.498;January;2013;Summer
2013/01/23;26.723;January;2013;Summer
2013/01/23;30.071;January;2013;Summer
2013/01/23;34.211;January;2013;Summer
2013/01/23;63.148;January;2013;Summer
2013/01/23;159.838;January;2013;Summer
2013/01/23;102.177;January;2013;Summer
2013/01/23;75.502;January;2013;Summer
2013/01/23;37.104;January;2013;Summer
2013/01/23;34.967;January;2013;Summer
2013/01/23;24.697;January;2013;Summer
2013/01/23;8.749;January;2013;Summer
2013/01/24;6.748;January;2013;Summer
2013/01/24;8.006;January;2013;Summer
2013/01/24;9.692;January;2013;Summer
2013/01/24;44.158;January;2013;Summer
2013/01/24;62.500;January;2013;Summer
2013/01/24;39.849;January;2013;Summer
2013/01/24;24.681;January;2013;Summer
2013/01/24;18.745;January;2013;Summer
2013/01/24;15.358;January;2013;Summer
2013/01/24;25.972;January;2013;Summer
2013/01/24;16.877;January;2013;Summer
2013/01/24;12.145;January;2013;Summer
2013/01/24;11.782;January;2013;Summer
2013/01/24;11.473;January;2013;Summer
2013/01/24;18.540;January;2013;Summer
2013/01/24;21.810;January;2013;Summer
2013/01/24;80.038;January;2013;Summer
2013/01/24;172.797;January;2013;Summer
2013/01/24;118.674;January;2013;Summer
2013/01/24;66.745;January;2013;Summer
2013/01/24;56.322;January;2013;Summer
2013/01/24;38.001;January;2013;Summer
2013/01/24;26.896;January;2013;Summer
2013/01/24;19.915;January;2013;Summer
2013/01/25;15.489;January;2013;Summer
2013/01/25;15.059;January;2013;Summer
2013/01/25;19.652;January;2013;Summer
2013/01/25;33.696;January;2013;Summer
2013/01/25;65.090;January;2013;Summer
2013/01/25;61.431;January;2013;Summer
2013/01/25;42.337;January;2013;Summer
2013/01/25;17.033;January;2013;Summer
2013/01/25;7.703;January;2013;Summer
2013/01/25;11.006;January;2013;Summer
2013/01/25;17.247;January;2013;Summer
2013/01/25;17.891;January;2013;Summer
2013/01/25;17.273;January;2013;Summer
2013/01/25;22.350;January;2013;Summer
2013/01/25;28.113;January;2013;Summer
2013/01/25;39.584;January;2013;Summer
2013/01/25;153.133;January;2013;Summer
2013/01/25;201.602;January;2013;Summer
2013/01/25;116.733;January;2013;Summer
2013/01/25;50.906;January;2013;Summer
2013/01/25;103.406;January;2013;Summer
2013/01/25;38.988;January;2013;Summer
2013/01/25;37.998;January;2013;Summer
2013/01/25;29.418;January;2013;Summer
2013/01/26;23.236;January;2013;Summer
2013/01/26;21.121;January;2013;Summer
2013/01/26;22.817;January;2013;Summer
2013/01/26;28.715;January;2013;Summer
2013/01/26;91.108;January;2013;Summer
2013/01/26;47.400;January;2013;Summer
2013/01/26;10.308;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;;January;2013;Summer
2013/01/26;58.749;January;2013;Summer
2013/01/26;23.003;January;2013;Summer
2013/01/26;42.178;January;2013;Summer
2013/01/26;37.332;January;2013;Summer
2013/01/26;27.840;January;2013;Summer
2013/01/26;25.017;January;2013;Summer
2013/01/26;21.672;January;2013;Summer
2013/01/26;15.550;January;2013;Summer
2013/01/26;16.163;January;2013;Summer
2013/01/27;15.136;January;2013;Summer
2013/01/27;16.704;January;2013;Summer
2013/01/27;15.852;January;2013;Summer
2013/01/27;25.610;January;2013;Summer
2013/01/27;48.969;January;2013;Summer
2013/01/27;22.944;January;2013;Summer
2013/01/27;27.185;January;2013;Summer
2013/01/27;42.963;January;2013;Summer
2013/01/27;41.540;January;2013;Summer
2013/01/27;39.634;January;2013;Summer
2013/01/27;24.753;January;2013;Summer
2013/01/27;29.820;January;2013;Summer
2013/01/27;45.388;January;2013;Summer
2013/01/27;33.124;January;2013;Summer
2013/01/27;27.909;January;2013;Summer
2013/01/27;42.503;January;2013;Summer
2013/01/27;52.871;January;2013;Summer
2013/01/27;81.028;January;2013;Summer
2013/01/27;59.463;January;2013;Summer
2013/01/27;38.482;January;2013;Summer
2013/01/27;19.551;January;2013;Summer
2013/01/27;16.612;January;2013;Summer
2013/01/27;19.488;January;2013;Summer
2013/01/27;114.043;January;2013;Summer
2013/01/28;25.273;January;2013;Summer
2013/01/28;12.418;January;2013;Summer
2013/01/28;8.807;January;2013;Summer
2013/01/28;19.814;January;2013;Summer
2013/01/28;59.028;January;2013;Summer
2013/01/28;34.710;January;2013;Summer
2013/01/28;20.383;January;2013;Summer
2013/01/28;20.909;January;2013;Summer
2013/01/28;48.168;January;2013;Summer
2013/01/28;21.898;January;2013;Summer
2013/01/28;8.459;January;2013;Summer
2013/01/28;17.069;January;2013;Summer
2013/01/28;12.498;January;2013;Summer
2013/01/28;11.509;January;2013;Summer
2013/01/28;12.360;January;2013;Summer
2013/01/28;31.733;January;2013;Summer
2013/01/28;42.947;January;2013;Summer
2013/01/28;37.669;January;2013;Summer
2013/01/28;40.519;January;2013;Summer
2013/01/28;32.053;January;2013;Summer
2013/01/28;16.671;January;2013;Summer
2013/01/28;17.233;January;2013;Summer
2013/01/28;13.883;January;2013;Summer
2013/01/28;11.802;January;2013;Summer
2013/01/29;13.372;January;2013;Summer
2013/01/29;12.306;January;2013;Summer
2013/01/29;7.490;January;2013;Summer
2013/01/29;8.435;January;2013;Summer
2013/01/29;13.198;January;2013;Summer
2013/01/29;11.983;January;2013;Summer
2013/01/29;37.107;January;2013;Summer
2013/01/29;31.328;January;2013;Summer
2013/01/29;46.273;January;2013;Summer
2013/01/29;20.899;January;2013;Summer
2013/01/29;6.478;January;2013;Summer
2013/01/29;8.325;January;2013;Summer
2013/01/29;7.394;January;2013;Summer
2013/01/29;32.275;January;2013;Summer
2013/01/29;79.207;January;2013;Summer
2013/01/29;16.406;January;2013;Summer
2013/01/29;20.796;January;2013;Summer
2013/01/29;21.780;January;2013;Summer
2013/01/29;40.849;January;2013;Summer
2013/01/29;18.211;January;2013;Summer
2013/01/29;13.068;January;2013;Summer
2013/01/29;10.324;January;2013;Summer
2013/01/29;7.732;January;2013;Summer
2013/01/29;8.593;January;2013;Summer
2013/01/30;12.344;January;2013;Summer
2013/01/30;17.796;January;2013;Summer
2013/01/30;13.932;January;2013;Summer
2013/01/30;11.649;January;2013;Summer
2013/01/30;31.573;January;2013;Summer
2013/01/30;36.014;January;2013;Summer
2013/01/30;33.580;January;2013;Summer
2013/01/30;44.596;January;2013;Summer
2013/01/30;34.994;January;2013;Summer
2013/01/30;19.501;January;2013;Summer
2013/01/30;1.880;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/30;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
2013/01/31;;January;2013;Summer
